REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-01,Basilicata,4,0,28,27,24,399,29956,v5
2020-06-01,Puglia,140,11,1155,506,1004,4498,119650,v5
2020-06-01,Piemonte,904,54,5062,3876,4104,30658,321476,v5
2020-06-01,Emilia Romagna,383,54,3068,4124,2631,27809,329358,v5
2020-06-01,Veneto,110,6,1468,1918,1352,19154,675934,v5
2020-06-01,Toscana,85,25,1082,1048,972,10107,253845,v5
2020-06-01,Liguria,191,7,611,1467,413,9719,107787,v5
2020-06-01,Lazio,594,56,2894,739,2244,7738,257563,v5
2020-06-01,Marche,63,9,1327,987,1255,6730,103994,v5
2020-06-01,Campania,224,6,939,413,709,4806,203858,v5
2020-06-01,Lombardia,3085,167,20861,16131,17609,89018,757446,v5
2020-06-01,Molise,2,2,135,22,131,436,14819,v5
2020-06-01,Calabria,20,1,135,97,114,1158,70892,v5
2020-06-01,Valle d'Aosta,11,0,17,143,6,1187,15230,v5
2020-06-01,Sardegna,23,1,161,131,137,1357,57687,v5
2020-06-01,Umbria,15,2,31,76,14,1431,70741,v5
2020-06-01,Trento,14,3,293,462,276,4432,89235,v5
2020-06-01,Abruzzo,113,6,744,408,625,3245,76924,v5
2020-06-01,Friuli VG,40,2,266,335,224,3274,135431,v5
2020-06-01,Sicilia,65,8,967,274,894,3443,151186,v5
2020-06-01,Bolzano,13,4,123,291,106,2598,67121,v5
2020-06-02,Lazio,580,56,2847,741,2211,7743,260102,v5
2020-06-02,Lombardia,3021,166,20255,16143,17068,89205,766122,v5
2020-06-02,Basilicata,4,0,24,27,20,399,30424,v5
2020-06-02,Puglia,134,11,1051,508,906,4498,121460,v5
2020-06-02,Piemonte,849,46,4828,3884,3933,30715,325097,v5
2020-06-02,Emilia Romagna,358,50,2912,4136,2504,27828,333629,v5
2020-06-02,Veneto,103,5,1403,1921,1295,19162,690267,v5
2020-06-02,Toscana,85,25,1011,1053,901,10117,257178,v5
2020-06-02,Liguria,175,7,546,1468,364,9734,109060,v5
