Data,Casi attuali,Morti,Guariti,Totale
10/06/2020,31710 ,34114,169939,235763
09/06/2020,32872 ,34043,168646,235560
08/06/2020,34730 ,33964,166584,235278
07/06/2020,35262 ,33899,165837,234998
06/06/2020,35877 ,33846,165078,234801
05/06/2020,36976 ,33774,163781,234531
04/06/2020,38429 ,33689,161895,234013
03/06/2020,39297 ,33601,160938,233836
02/06/2020,39893 ,33530,160092,233515
01/06/2020,41367 ,33475,158355,233197
31/05/2020,42075 ,33415,157507,233019
30/05/2020,43691 ,33340,155632,232664
29/05/2020,46175 ,33229,152844,232248
28/05/2020,47986 ,33141,150603,231732
27/05/2020,50966 ,33071,147101,231139
26/05/2020,52942 ,32955,144658,230555
25/05/2020,55300 ,32877,141981,230158
24/05/2020,56594 ,32785,140478,229858
23/05/2020,57752 ,32735,138840,229327
22/05/2020,59322 ,32616,136720,228658
21/05/2020,60960 ,32486,134560,228006
20/05/2020,62752 ,32330,132282,227364
19/05/2020,65129 ,32169,129401,226699
18/05/2020,66553 ,32006,127326,225886
17/05/2020,68351 ,31908,125176,225435
16/05/2020,70187 ,31763,122810,224760
15/05/2020,72070 ,31610,120205,223885
14/05/2020,76440 ,31368,115288,223095
13/05/2020,78457 ,31105,112541,222104
12/05/2020,81266 ,30910,109039,221215
11/05/2020,82488 ,30739,106587,219814
10/05/2020,83324 ,30560,105186,219070
09/05/2020,84842 ,30395,103031,218268
08/05/2020,87961 ,30201,99023,217185
07/05/2020,89624 ,29958,96276,215858
06/05/2020,91528 ,29648,93245,214457
05/05/2020,98467 ,29315,85231,213013
04/05/2020,99980 ,29079,82878,211938
03/05/2020,100179,28884,81654,210717
02/05/2020,100704,28710,79914,209328
01/05/2020,100943,28236,78249,207428
30/04/2020,101551,27967,75945,205463
29/04/2020,104657,27682,71252,203591
28/04/2020,105205,27359,68941,201505
27/04/2020,105813,26977,66624,199414
26/04/2020,106103,26644,64928,197675
25/04/2020,105847,26348,63120,195351
24/04/2020,106527,25969,60498,192994
23/04/2020,106848,25549,57576,189972
22/04/2020,107699,25085,54543,187327
21/04/2020,107709,24648,51600,183957
20/04/2020,108237,24114,48877,181228
19/04/2020,108257,23660,47055,178972
18/04/2020,107771,23227,44927,175925
17/04/2020,106962,22745,42727,172434
16/04/2020,106607,22170,40164,168941
15/04/2020,105418,21645,38092,165155
14/04/2020,104291,21067,37130,162488
13/04/2020,103616,20465,35435,159516
12/04/2020,102253,19899,34211,156363
11/04/2020,100269,19468,32534,152271
10/04/2020,98273,18849,30455,147577
09/04/2020,96877,18279,28470,143626
08/04/2020,95262,17669,26491,139422
07/04/2020,94067,17127,24392,135586
06/04/2020,93187,16523,22837,132547
05/04/2020,91246,15887,21815,128948
04/04/2020,88274,15362,20996,124632
03/04/2020,85388,14681,19758,119827
02/04/2020,83049,13915,18278,115242
01/04/2020,80572,13155,16847,110574
31/03/2020,77635,12428,15729,105792
30/03/2020,75528,11591,14620,101739
29/03/2020,73880,10779,13030,97689
28/03/2020,70065,10023,12384,92472
27/03/2020,66414,9134,10950,86498
26/03/2020,62013,8165,10361,80539
25/03/2020,57521,7503,9362,74386
24/03/2020,54030,6820,8326,69176
23/03/2020,50418,6077,7432,63927
22/03/2020,46638,5476,7024,59138
21/03/2020,42681,4825,6072,53578
20/03/2020,37860,4032,5129,47021
19/03/2020,33190,3405,4440,41035
18/03/2020,28710,2978,4025,35713
17/03/2020,26062,2503,2941,31506
16/03/2020,23073,2158,2749,27980
15/03/2020,20603,1809,2335,24747
14/03/2020,17750,1441,1966,21157
13/03/2020,14955,1266,1439,17660
12/03/2020,12839,1016,1258,15113
11/03/2020,10590,827,1045,12462
10/03/2020,8514, 631,1004,10149
09/03/2020,7985, 463,724,9172 
08/03/2020,6387, 366,622,7375 
07/03/2020,5061, 233,589,5883 
06/03/2020,3916, 197,523,4636 
05/03/2020,3296, 148,414,3858 
04/03/2020,2706, 107,276,3089 
03/03/2020,2263, 79,160,2502 
02/03/2020,1835, 52,149,2036 
01/03/2020,1577, 34,83,1694 
